Executing example 4: Ecosystem with support for semi-automatic model and transformation co-evolution where the java version is changed
[COMMIT] ArtifactVersion[name=executable, version=0]
[COMMIT] ArtifactVersion[name=deploymentPipeline, version=0]
[COMMIT] ArtifactVersion[name=sourceCode, version=0]
[COMMIT] ArtifactVersion[name=ecore, version=0]
[COMMIT] ArtifactVersion[name=trafoMM, version=0]
[COMMIT] ArtifactVersion[name=java, version=0]
[COMMIT] ArtifactVersion[name=javaBuildPipeline, version=0]
[COMMIT] ArtifactVersion[name=springBoot, version=0]
[COMMIT] ArtifactVersion[name=dotNet, version=0]
[COMMIT] ArtifactVersion[name=python, version=0]
[COMMIT] ArtifactVersion[name=coEvModelGen, version=0]
[COMMIT] ArtifactVersion[name=modelCoEvGen, version=0]
[COMMIT] ArtifactVersion[name=trafoCoEvGen, version=0]
[COMMIT] ArtifactVersion[name=microservice, version=0]
[CoEv] Don't create migration model for initial version of ArtifactVersion[name=microservice, version=0]
[COMMIT] ArtifactVersion[name=microserviceToSpringBoot, version=0]
[COMMIT] ArtifactVersion[name=microserviceToDotNet, version=0]
[COMMIT] ArtifactVersion[name=customerMicroservice, version=0]
[M2T] Generating Spring Boot microservices for model ArtifactVersion[name=customerMicroservice, version=0]
[COMMIT] ArtifactVersion[name=customerMicroserviceSpringBootGen, version=0]
[BUILD] Unit testing and building ArtifactVersion[name=customerMicroserviceSpringBootGen, version=0]
[COMMIT] ArtifactVersion[name=customerMicroserviceSpringBootGenVer0.jar, version=0]
[DEPLOY] Integration testing and deploying ArtifactVersion[name=customerMicroserviceSpringBootGenVer0.jar, version=0]
[M2T] Generating Dot Net microservices for model ArtifactVersion[name=customerMicroservice, version=0]
[COMMIT] ArtifactVersion[name=customerMicroserviceDotNetGen, version=0]
[COMMIT] ArtifactVersion[name=shoppingCardMicroservice, version=0]
[M2T] Generating Spring Boot microservices for model ArtifactVersion[name=shoppingCardMicroservice, version=0]
[COMMIT] ArtifactVersion[name=shoppingCardMicroserviceSpringBootGen, version=0]
[BUILD] Unit testing and building ArtifactVersion[name=shoppingCardMicroserviceSpringBootGen, version=0]
[COMMIT] ArtifactVersion[name=shoppingCardMicroserviceSpringBootGenVer0.jar, version=0]
[DEPLOY] Integration testing and deploying ArtifactVersion[name=shoppingCardMicroserviceSpringBootGenVer0.jar, version=0]
[M2T] Generating Dot Net microservices for model ArtifactVersion[name=shoppingCardMicroservice, version=0]
[COMMIT] ArtifactVersion[name=shoppingCardMicroserviceDotNetGen, version=0]
[COMMIT] ArtifactVersion[name=orderMicroservice, version=0]
[M2T] Generating Spring Boot microservices for model ArtifactVersion[name=orderMicroservice, version=0]
[COMMIT] ArtifactVersion[name=orderMicroserviceSpringBootGen, version=0]
[BUILD] Unit testing and building ArtifactVersion[name=orderMicroserviceSpringBootGen, version=0]
[COMMIT] ArtifactVersion[name=orderMicroserviceSpringBootGenVer0.jar, version=0]
[DEPLOY] Integration testing and deploying ArtifactVersion[name=orderMicroserviceSpringBootGenVer0.jar, version=0]
[M2T] Generating Dot Net microservices for model ArtifactVersion[name=orderMicroservice, version=0]
[COMMIT] ArtifactVersion[name=orderMicroserviceDotNetGen, version=0]
[COMMIT] ArtifactVersion[name=microserviceToPython, version=0]
[M2T] Generating Python microservices for model ArtifactVersion[name=customerMicroservice, version=0]
[COMMIT] ArtifactVersion[name=customerMicroservicePythonGen, version=0]
[M2T] Generating Python microservices for model ArtifactVersion[name=orderMicroservice, version=0]
[COMMIT] ArtifactVersion[name=orderMicroservicePythonGen, version=0]
[M2T] Generating Python microservices for model ArtifactVersion[name=shoppingCardMicroservice, version=0]
[COMMIT] ArtifactVersion[name=shoppingCardMicroservicePythonGen, version=0]
### Changing Java version and migrating Spring Boot platform, Java build pipeline and Spring Boot Generator manually:
[COMMIT] ArtifactVersion[name=java, version=1]
[COMMIT] ArtifactVersion[name=springBoot, version=1]
[COMMIT] ArtifactVersion[name=javaBuildPipeline, version=1]
[COMMIT] ArtifactVersion[name=microserviceToSpringBoot, version=1]
[M2T] Generating Spring Boot microservices for model ArtifactVersion[name=customerMicroservice, version=0]
[COMMIT] ArtifactVersion[name=customerMicroserviceSpringBootGen, version=1]
[BUILD] Unit testing and building ArtifactVersion[name=customerMicroserviceSpringBootGen, version=1]
[COMMIT] ArtifactVersion[name=customerMicroserviceSpringBootGenVer1.jar, version=0]
[DEPLOY] Integration testing and deploying ArtifactVersion[name=customerMicroserviceSpringBootGenVer1.jar, version=0]
[M2T] Generating Spring Boot microservices for model ArtifactVersion[name=orderMicroservice, version=0]
[COMMIT] ArtifactVersion[name=orderMicroserviceSpringBootGen, version=1]
[BUILD] Unit testing and building ArtifactVersion[name=orderMicroserviceSpringBootGen, version=1]
[COMMIT] ArtifactVersion[name=orderMicroserviceSpringBootGenVer1.jar, version=0]
[DEPLOY] Integration testing and deploying ArtifactVersion[name=orderMicroserviceSpringBootGenVer1.jar, version=0]
[M2T] Generating Spring Boot microservices for model ArtifactVersion[name=shoppingCardMicroservice, version=0]
[COMMIT] ArtifactVersion[name=shoppingCardMicroserviceSpringBootGen, version=1]
[BUILD] Unit testing and building ArtifactVersion[name=shoppingCardMicroserviceSpringBootGen, version=1]
[COMMIT] ArtifactVersion[name=shoppingCardMicroserviceSpringBootGenVer1.jar, version=0]
[DEPLOY] Integration testing and deploying ArtifactVersion[name=shoppingCardMicroserviceSpringBootGenVer1.jar, version=0]
